parcel,leased
412428300012.00000000,1
412428300014.00000000,1
412428400002.00000000,1
412429451001.00000000,1
412430100003.00000000,1
412430100022.00000000,1
412430201001.00000000,1
412431400001.00000000,1
412431400004.00000000,1
412432300001.00000000,1
412432300006.00000000,1
412432400001.00000000,1
412433100005.00000000,1
412433200003.00000000,1
412433200007.00000000,1
412433200009.00000000,1
412434101004.00000000,1
412434200001.00000000,1
412434400015.00000000,1
412436200008.00000000,1
412436200008.00000000,1
412436300026.00000000,1
412436300026.00000000,1
412436400020.00000000,1
412436400020.00000000,1
412436400022.00000000,1
412436400022.00000000,1
412436400023.00000000,1
412436400023.00000000,1
412436400024.00000000,1
412436400024.00000000,1
412436400025.00000000,1
412436400025.00000000,1
441213400016.00000000,1
